Sura;Aya;Bagian;Arabic;Transliteration;Transcript
4;77;2;فَلَمَّا كُتِبَ عَلَيْهِمُ الْقِتَالُ اِذَا فَرِيْقٌ مِّنْهُمْ يَخْشَوْنَ النَّاسَ كَخَشْيَةِ اللّٰهِ اَوْ اَشَدَّ;lammā kutiba 'alaihimul-qitālu iżā farīqum min-hum yakhsyaunan-nāsa kakhasy-yatillāhi au asyadd;a lam mā ku ti ba 'a lai hi mul qi tā lu i żā fa rī qum min hum yakh syau nan nā sa ka khasy ya til lā hi au a syad d
4;77;3;خَشْيَةً ۚ وَقَالُوْا رَبَّنَا لِمَ كَتَبْتَ عَلَيْنَا الْقِتَالَۚ لَوْلَآ اَخَّرْتَنَآ اِلٰٓى اَجَلٍ قَرِيْبٍۗ;khasy-yah, wa qālụ rabbanā lima katabta 'alainal-qitāl, lau lā akhkhartanā ilā ajaling qarī;a khasy yah , wa qā lụ rab ba nā li ma ka tab ta 'a lai nal qi tāl , lau lā akh khar ta nā i lā a ja ling qa rī
4;77;4;قُلْ مَتَاعُ الدُّنْيَا قَلِيْلٌۚ وَالْاٰخِرَةُ خَيْرٌ لِّمَنِ اتَّقٰىۗ وَلَا تُظْلَمُوْنَ فَتِيْلًا;qul matā'ud-dun-yā qalīl, wal-ākhiratu khairul limanittaqā, wa lā tuẓlamụna fatīl;, qul ma tā 'ud dun yā qa līl , wal ā khi ra tu khai rul li ma nit ta qā , wa lā tuẓ la mụ na fa tī l
4;78;1;اَيْنَمَا تَكُوْنُوْا يُدْرِكْكُّمُ الْمَوْتُ وَلَوْ كُنْتُمْ فِيْ بُرُوْجٍ مُّشَيَّدَةٍ;aina mā takụnụ yudrikkumul-mautu walau kuntum fī burụjim musyayyadah,;ai na mā ta kụ nụ yud rik ku mul mau tu wa lau kun tum fī bu rụ jim mu syay ya dah ,
4;78;2;ۗ وَاِنْ تُصِبْهُمْ حَسَنَةٌ يَّقُوْلُوْا هٰذِهٖ مِنْ عِنْدِ اللّٰهِ ۚ وَاِنْ تُصِبْهُمْ; in tuṣib-hum ḥasanatuy yaqụlụ hāżihī min 'indillāh, wa in tuṣib-h;a in tu ṣib hum ḥa sa na tuy ya qụ lụ hā żi hī min 'in dil lāh , wa in tu ṣib h
4;78;3;سَيِّئَةٌ يَّقُوْلُوْا هٰذِهٖ مِنْ عِنْدِكَ ۗ قُلْ كُلٌّ مِّنْ عِنْدِ اللّٰهِ ۗ فَمَالِ;sayyi`atuy yaqụlụ hāżihī min 'indik, qul kullum min 'indillāh, fa māl;m say yi `a tuy ya qụ lụ hā żi hī min 'in dik , qul kul lum min 'in dil lāh , fa mā l
4;78;4;هٰٓؤُلَاۤءِ الْقَوْمِ لَا يَكَادُوْنَ يَفْقَهُوْنَ حَدِيْثًا;li hā`ulā`il-qaumi lā yakādụna yafqahụna ḥadīṡ;ā li hā `u lā `il qau mi lā ya kā dụ na yaf qa hụ na ḥa dī ṡ
4;79;1;مَآ اَصَابَكَ مِنْ حَسَنَةٍ فَمِنَ اللّٰهِ ۖ وَمَآ اَصَابَكَ مِنْ سَيِّئَةٍ فَمِنْ;mā aṣābaka min ḥasanatin fa minallāhi wa mā aṣābaka min sayyi`atin fa ;l llā hi wa mā a ṣā ba ka min say yi `a tin fa min naf sik , wa ar sal nā ka lin nā s
4;79;2;نَّفْسِكَ ۗ وَاَرْسَلْنٰكَ لِلنَّاسِ رَسُوْلًا ۗ وَكَفٰى بِاللّٰهِ شَهِيْدًا;nafsik, wa arsalnāka lin-nāsi rasụlā, wa kafā billāhi syahīd;n naf sik , wa ar sal nā ka lin nā si ra sụ lā , wa ka fā bil lā hi sya hī d
4;80;1;مَنْ يُّطِعِ الرَّسُوْلَ فَقَدْ اَطَاعَ اللّٰهَ ۚ وَمَنْ تَوَلّٰى فَمَآ اَرْسَلْنٰكَ عَلَيْهِمْ حَفِيْظًا ۗ;may yuṭi'ir-rasụla fa qad aṭā'allāh, wa man tawallā fa mā arsalnāka 'alaihim ḥafīẓā;l llāh , wa man ta wal lā fa mā ar sal nā ka 'a lai him ḥa fī ẓā
4;81;1;وَيَقُوْلُوْنَ طَاعَةٌ ۖ فَاِذَا بَرَزُوْا مِنْ عِنْدِكَ بَيَّتَ طَاۤىِٕفَةٌ;wa yaqụlụna ṭā'atun fa iżā barazụ min 'indika bayyata ṭā`ifat;wa ya qụ lụ na ṭā 'a tun fa i żā ba ra zụ min 'in di ka bay ya ta ṭā `i fa t
4;81;2;مِّنْهُمْ غَيْرَ الَّذِيْ تَقُوْلُ ۗ وَاللّٰهُ يَكْتُبُ مَا يُبَيِّتُوْنَ ۚ فَاَعْرِضْ;min-hum gairallażī taqụl, wallāhu yaktubu mā yubayyitụn, fa a'ri;l llā hu yak tu bu mā yu bay yi tụn , fa a' riḍ 'an hum wa ta wak kal 'a lall l
4;81;3;عَنْهُمْ وَتَوَكَّلْ عَلَى اللّٰهِ ۗ وَكَفٰى بِاللّٰهِ وَكِيْلًا;'an-hum wa tawakkal 'alallāh, wa kafā billāhi wakī;ḍ 'an hum wa ta wak kal 'a lall llāh , wa ka fā bil lā hi wa
4;82;1;اَفَلَا يَتَدَبَّرُوْنَ الْقُرْاٰنَ ۗ وَلَوْ كَانَ مِنْ عِنْدِ;fa lā yatadabbarụnal-qur`ān, walau kāna min 'in;a fa lā ya ta dab ba rụ nal qur `ān , wa lau kā na min 'in
4;82;2;غَيْرِ اللّٰهِ لَوَجَدُوْا فِيْهِ اخْتِلَافًا كَثِيْرًا;di gairillāhi lawajadụ fīhikhtilāfang kaṡīr;n di gai ril lā hi la wa ja dụ fī hikh ti lā fang ka ṡī r
4;83;1;وَاِذَا جَاۤءَهُمْ اَمْرٌ مِّنَ الْاَمْنِ اَوِ الْخَوْفِ اَذَاعُوْا بِهٖ;iżā jā`ahum amrum minal-amni awil-khaufi ażā'ụ bih, ;a i żā jā `a hum am rum mi nal am ni a wil khau fi a żā 'ụ bih ,
4;83;2;ۗ وَلَوْ رَدُّوْهُ اِلَى الرَّسُوْلِ وَاِلٰٓى اُولِى الْاَمْرِ مِنْهُمْ لَعَلِمَهُ; walau raddụhu ilar-rasụli wa ilā ulil-amri min-hum la'alim;, wa lau rad dụ hu i lar ra sụ li wa i lā u lil am ri min hum la 'a li m
4;83;3;الَّذِيْنَ يَسْتَنْۢبِطُوْنَهٗ مِنْهُمْ ۗ وَلَوْلَا فَضْلُ اللّٰهِ عَلَيْكُمْ;lażīna yastambiṭụnahụ min-hum, walau lā faḍlullāhi 'alaik;l la żī na yas tam bi ṭụ na hụ min hum , wa lau lā faḍ lull llā hi 'a la
4;83;4;وَرَحْمَتُهٗ لَاتَّبَعْتُمُ الشَّيْطٰنَ اِلَّا قَلِيْلًا;wa raḥmatuhụ lattaba'tumusy-syaiṭāna illā qalīl;m wa raḥ ma tu hụ lat ta ba' tu musy syai ṭā na il lā qa lī l
4;84;1;فَقَاتِلْ فِيْ سَبِيْلِ اللّٰهِ ۚ لَا تُكَلَّفُ اِلَّا نَفْسَكَ وَحَرِّضِ;fa qātil fī sabīlillāh, lā tukallafu illā nafsaka wa ḥarri;fa qā til fī sa bī lil lāh , lā tu kal la fu il lā naf sa ka wa ḥar ri
4;84;2;الْمُؤْمِنِيْنَ ۚ عَسَى اللّٰهُ اَنْ يَّكُفَّ بَأْسَ الَّذِيْنَ كَفَرُوْا;il-mu`minīn, 'asallāhu ay yakuffa ba`sallażīna kafar;l llā hu ay ya kuf fa ba` sal la żī na ka fa rụ , wall llā hu a sya
4;84;3;ۗوَاللّٰهُ اَشَدُّ بَأْسًا وَّاَشَدُّ تَنْكِيْلًا;, wallāhu asyaddu ba`saw wa asyaddu tangkīl;l llā hu a syad du ba` saw wa a syad du tang kī lā
4;85;1;مَنْ يَّشْفَعْ شَفَاعَةً حَسَنَةً يَّكُنْ لَّهٗ نَصِيْبٌ مِّنْهَا ۚ وَمَنْ يَّشْفَعْ شَفَاعَةً; yasyfa' syafā'atan ḥasanatay yakul lahụ naṣībum min-hā, wa may yasyfa' syafā'ata;y yasy fa' sya fā 'a tan ḥa sa na tay ya kul la hụ na ṣī bum min hā , wa may yasy fa' sya fā 'a ta
4;85;2;سَيِّئَةً يَّكُنْ لَّهٗ كِفْلٌ مِّنْهَا ۗ وَكَانَ اللّٰهُ عَلٰى كُلِّ شَيْءٍ مُّقِيْتًا;sayyi`atay yakul lahụ kiflum min-hā, wa kānallāhu 'alā kulli syai`im muq;n say yi `a tay ya kul la hụ kif lum min hā , wa kā nall llā hu 'a lā kul li syai `im m
4;86;1;وَاِذَا حُيِّيْتُمْ بِتَحِيَّةٍ فَحَيُّوْا بِاَحْسَنَ مِنْهَآ; iżā ḥuyyītum bitaḥiyyatin fa ḥayyụ bi`aḥsana min;a i żā ḥuy yī tum bi ta ḥiy ya tin fa ḥay yụ bi `aḥ sa na min
4;86;2;اَوْ رُدُّوْهَا ۗ اِنَّ اللّٰهَ كَانَ عَلٰى كُلِّ شَيْءٍ حَسِيْبًا; au ruddụhā, innallāha kāna 'alā kulli syai`in ḥasīb;l llā ha kā na 'a lā kul li syai `in ḥa sī bā
4;87;1;اَللّٰهُ لَآ اِلٰهَ اِلَّا هُوَۗ لَيَجْمَعَنَّكُمْ اِلٰى يَوْمِ الْقِيٰمَةِ;allāhu lā ilāha illā huw, layajma'annakum ilā yaumil-qiyāmat;l llā hu lā i lā ha il lā huw , la yaj ma 'an na kum i lā yau mil qi yā ma ti
4;87;2;لَا رَيْبَ فِيْهِ ۗ وَمَنْ اَصْدَقُ مِنَ اللّٰهِ حَدِيْثًا ࣖ;i lā raiba fīh, wa man aṣdaqu minallāhi ḥadīṡ;ti lā rai ba fīh , wa man aṣ da qu mi nall llā hi ḥa d
4;88;1;۞ فَمَا لَكُمْ فِى الْمُنٰفِقِيْنَ فِئَتَيْنِ وَاللّٰهُ اَرْكَسَهُمْ;fa mā lakum fil-munāfiqīna fi`ataini wallāhu arkasahu;fa mā la kum fil mu nā fi qī na fi `a tai ni wall llā hu ar ka sa
4;88;2;بِمَا كَسَبُوْا ۗ اَتُرِيْدُوْنَ اَنْ تَهْدُوْا مَنْ اَضَلَّ اللّٰهُ;bimā kasabụ, a turīdụna an tahdụ man aḍallallā;m bi mā ka sa bụ , a tu rī dụ na an tah dụ man a ḍal lall l
4;88;3;ۗوَمَنْ يُّضْلِلِ اللّٰهُ فَلَنْ تَجِدَ لَهٗ سَبِيْلًا; wa may yuḍlilillāhu fa lan tajida lahụ sabī;, wa may yuḍ li lil lā hu fa lan ta ji da la hụ sa bī
4;89;1;وَدُّوْا لَوْ تَكْفُرُوْنَ كَمَا كَفَرُوْا فَتَكُوْنُوْنَ سَوَاۤءً فَلَا;waddụ lau takfurụna kamā kafarụ fa takụnụna sawā`an fa l;wad dụ lau tak fu rụ na ka mā ka fa rụ fa ta kụ nụ na sa wā `an fa l
4;89;2;تَتَّخِذُوْا مِنْهُمْ اَوْلِيَاۤءَ حَتّٰى يُهَاجِرُوْا فِيْ سَبِيْلِ;tattakhiżụ min-hum auliyā`a ḥattā yuhājirụ fī sabīli;ā tat ta khi żụ min hum au li yā `a ḥat tā yu hā ji rụ fī sa bī li
4;89;3;اللّٰهِ ۗ فَاِنْ تَوَلَّوْا فَخُذُوْهُمْ وَاقْتُلُوْهُمْ حَيْثُ وَجَدْتُّمُوْهُمْ;llāh, fa in tawallau fa khużụhum waqtulụhum ḥaiṡu wajattumụhum;il lāh , fa in ta wal lau fa khu żụ hum waq tu lụ hum ḥai ṡu wa jat tu mụ hum
4;89;4;ۖ وَلَا تَتَّخِذُوْا مِنْهُمْ وَلِيًّا وَّلَا نَصِيْرًاۙ; wa lā tattakhiżụ min-hum waliyyaw wa lā naṣī;m wa lā tat ta khi żụ min hum wa liy yaw wa lā na ṣī
4;90;1;اِلَّا الَّذِيْنَ يَصِلُوْنَ اِلٰى قَوْمٍۢ بَيْنَكُمْ وَبَيْنَهُمْ مِّيْثَاقٌ اَوْ جَاۤءُوْكُمْ;illallażīna yaṣilụna ilā qaumim bainakum wa bainahum mīṡāqun au jā`ụku;il lal la żī na ya ṣi lụ na i lā qau mim bai na kum wa bai na hum mī ṡā qun au jā `ụ ku
4;90;2;حَصِرَتْ صُدُوْرُهُمْ اَنْ يُّقَاتِلُوْكُمْ اَوْ يُقَاتِلُوْا قَوْمَهُمْ ۗ وَلَوْ شَاۤءَ اللّٰهُ;ḥaṣirat ṣudụruhum ay yuqātilụkum au yuqātilụ qaumahum, walau syā`allāhu;m ḥa ṣi rat ṣu dụ ru hum ay yu qā ti lụ kum au yu qā ti lụ qau ma hum , wa lau syā `all llā
4;90;3;لَسَلَّطَهُمْ عَلَيْكُمْ فَلَقَاتَلُوْكُمْ ۚ فَاِنِ اعْتَزَلُوْكُمْ فَلَمْ يُقَاتِلُوْكُمْ; lasallaṭahum 'alaikum fa laqātalụkum, fa ini'tazalụkum fa lam yuqātil;u la sal la ṭa hum 'a lai kum fa la qā ta lụ kum , fa i ni' ta za lụ kum fa lam yu qā ti l
4;90;4;وَاَلْقَوْا اِلَيْكُمُ السَّلَمَ ۙ فَمَا جَعَلَ اللّٰهُ لَكُمْ عَلَيْهِمْ سَبِيْلًا; wa alqau ilaikumus-salama fa mā ja'alallāhu lakum 'alaihim sabīl;m wa al qau i lai ku mus sa la ma fa mā ja 'a lall llā hu la kum 'a lai him sa b
4;91;1;سَتَجِدُوْنَ اٰخَرِيْنَ يُرِيْدُوْنَ اَنْ يَّأْمَنُوْكُمْ وَيَأْمَنُوْا قَوْمَهُمْ ۗ كُلَّ;satajidụna ākharīna yurīdụna ay ya`manụkum wa ya`manụ qaumahum, kul;sa ta ji dụ na ā kha rī na yu rī dụ na ay ya` ma nụ kum wa ya` ma nụ qau ma hum , kul
4;91;2;مَا رُدُّوْٓا اِلَى الْفِتْنَةِ اُرْكِسُوْا فِيْهَا ۚ فَاِنْ لَّمْ يَعْتَزِلُوْكُمْ وَيُلْقُوْٓا;mā ruddū ilal-fitnati urkisụ fīhā, fa il lam ya'tazilụkum wa yu;a mā rud dū i lal fit na ti ur ki sụ fī hā , fa il lam ya' ta zi lụ kum wa yu
4;91;3;اِلَيْكُمُ السَّلَمَ وَيَكُفُّوْٓا اَيْدِيَهُمْ فَخُذُوْهُمْ وَاقْتُلُوْهُمْ حَيْثُ ثَقِفْتُمُوْهُمْ;ilaikumus-salama wa yakuffū aidiyahum fa khużụhum waqtulụhum ḥaiṡu ṡaqiftumụh;ū i lai ku mus sa la ma wa ya kuf fū ai di ya hum fa khu żụ hum waq tu lụ hum ḥai ṡu ṡa qif tu mụ h
4;91;4;ۗ وَاُولٰۤىِٕكُمْ جَعَلْنَا لَكُمْ عَلَيْهِمْ سُلْطٰنًا مُّبِيْنًا ࣖ;m, wa ulā`ikum ja'alnā lakum 'alaihim sulṭānam mubīn;um , wa u lā `i kum ja 'al nā la kum 'a lai him sul ṭā nam mu bī n
4;92;1;وَمَا كَانَ لِمُؤْمِنٍ اَنْ يَّقْتُلَ مُؤْمِنًا اِلَّا خَطَـًٔا ۚ وَمَنْ قَتَلَ مُؤْمِنًا خَطَـًٔا فَتَحْرِيْرُ رَقَبَةٍ مُّؤْمِنَةٍ وَّدِيَةٌ;mā kāna limu`minin ay yaqtula mu`minan illā khaṭa`ā, wa mang qatala mu`minan khaṭa`an fa taḥrīru raqabatim mu`minatiw wa diyat;a mā kā na li mu` mi nin ay yaq tu la mu` mi nan il lā kha ṭa `ā , wa mang qa ta la mu` mi nan kha ṭa `an fa taḥ rī ru ra qa ba tim mu` mi na tiw wa di ya t
4;92;2;مُّسَلَّمَةٌ اِلٰٓى اَهْلِهٖٓ اِلَّآ اَنْ يَّصَّدَّقُوْا ۗ فَاِنْ كَانَ مِنْ قَوْمٍ عَدُوٍّ لَّكُمْ وَهُوَ مُؤْمِنٌ فَتَحْرِيْرُ رَقَبَةٍ;musallamatun ilā ahlihī illā ay yaṣṣaddaqụ, fa ing kāna ming qaumin 'aduwwil lakum wa huwa mu`minun fa taḥrīru r;m mu sal la ma tun i lā ah li hī il lā ay yaṣ ṣad da qụ , fa ing kā na ming qau min 'a duw wil la kum wa hu wa mu` mi nun fa taḥ rī ru r
4;92;3;مُّؤْمِنَةٍ ۗوَاِنْ كَانَ مِنْ قَوْمٍۢ بَيْنَكُمْ وَبَيْنَهُمْ مِّيْثَاقٌ فَدِيَةٌ مُّسَلَّمَةٌ اِلٰٓى اَهْلِهٖ وَتَحْرِيْرُ رَقَبَةٍ مُّؤْمِنَةٍ;mu`minah, wa ing kāna ming qaumim bainakum wa bainahum mīṡāqun fa diyatum musallamatun ilā ahlihī wa taḥrīru raqabatim mu`m;m mu` mi nah , wa ing kā na ming qau mim bai na kum wa bai na hum mī ṡā qun fa di ya tum mu sal la ma tun i lā ah li hī wa taḥ rī ru ra qa ba tim mu` m
4;92;4;ۚ فَمَنْ لَّمْ يَجِدْ فَصِيَامُ شَهْرَيْنِ مُتَتَابِعَيْنِۖ تَوْبَةً مِّنَ اللّٰهِ ۗوَكَانَ اللّٰهُ عَلِيْمًا حَكِيْمًا; fa mal lam yajid fa ṣiyāmu syahraini mutatābi'aini taubatam minallāh, wa kānallāhu 'alīman ḥakī;, fa mal lam ya jid fa ṣi yā mu syah rai ni mu ta tā bi 'ai ni tau ba tam mi nall llāh , wa kā nall llā hu 'a lī man
4;93;1;وَمَنْ يَّقْتُلْ مُؤْمِنًا مُّتَعَمِّدًا فَجَزَاۤؤُهٗ جَهَنَّمُ خَالِدًا فِيْهَا;wa may yaqtul mu`minam muta'ammidan fa jazā`uhụ jahannamu khālidan fī;wa may yaq tul mu` mi nam mu ta 'am mi dan fa ja zā `u hụ ja han na mu khā li dan fī
4;93;2;وَغَضِبَ اللّٰهُ عَلَيْهِ وَلَعَنَهٗ وَاَعَدَّ لَهٗ عَذَابًا عَظِيْمًا;wa gaḍiballāhu 'alaihi wa la'anahụ wa a'adda lahụ 'ażāban 'aẓ;l llā hu 'a lai hi wa la 'a na hụ wa a 'ad da la hụ 'a żā ban 'a ẓī mā
4;94;1;يٰٓاَيُّهَا الَّذِيْنَ اٰمَنُوْٓا اِذَا ضَرَبْتُمْ فِيْ سَبِيْلِ اللّٰهِ فَتَبَيَّنُوْا وَلَا;yā ayyuhallażīna āmanū iżā ḍarabtum fī sabīlillāhi fa tabayyanụ wa ;yā ay yu hal la żī na ā ma nū i żā ḍa rab tum fī sa bī lil lā hi fa ta bay ya nụ wa
4;94;2;تَقُوْلُوْا لِمَنْ اَلْقٰىٓ اِلَيْكُمُ السَّلٰمَ لَسْتَ مُؤْمِنًاۚ تَبْتَغُوْنَ عَرَضَ الْحَيٰوةِ;taqụlụ liman alqā ilaikumus-salāma lasta mu`minā, tabtagụna 'araḍal-ḥayāti;ā ta qụ lụ li man al qā i lai ku mus sa lā ma las ta mu` mi nā , tab ta gụ na 'a ra ḍal ḥa yā ti
4;94;3;الدُّنْيَا ۖفَعِنْدَ اللّٰهِ مَغَانِمُ كَثِيْرَةٌ ۗ كَذٰلِكَ كُنْتُمْ مِّنْ قَبْلُ فَمَنَّ اللّٰهُ;d-dun-yā fa 'indallāhi magānimu kaṡīrah, każālika kuntum ming qablu fa mannall;l llā hi ma gā ni mu ka ṡī rah , ka żā li ka kun tum ming qab lu fa man nall llā hu 'a lai kum
4;94;4;عَلَيْكُمْ فَتَبَيَّنُوْاۗ اِنَّ اللّٰهَ كَانَ بِمَا تَعْمَلُوْنَ خَبِيْرًا;'alaikum fa tabayyanụ, innallāha kāna bimā ta'malụna khabīr;l llā ha kā na bi mā ta' ma lụ na kha bī rā
4;95;1;لَا يَسْتَوِى الْقَاعِدُوْنَ مِنَ الْمُؤْمِنِيْنَ غَيْرُ اُولِى الضَّرَرِ وَالْمُجَاهِدُوْنَ;lā yastawil-qā'idụna minal-mu`minīna gairu uliḍ-ḍarari wal-mujāhid;lā yas ta wil qā 'i dụ na mi nal mu` mi nī na gai ru u liḍ ḍa ra ri wal mu jā hi d
4;95;2;فِيْ سَبِيْلِ اللّٰهِ بِاَمْوَالِهِمْ وَاَنْفُسِهِمْۗ فَضَّلَ اللّٰهُ الْمُجٰهِدِيْنَ بِاَمْوَالِهِمْ;fī sabīlillāhi bi`amwālihim wa anfusihim, faḍḍalallāhul-mujāhidīna bi`amwāl;a fī sa bī lil lā hi bi `am wā li him wa an fu si him , faḍ ḍa lall llā hul mu jā hi dī na bi `am w
4;95;3;وَاَنْفُسِهِمْ عَلَى الْقٰعِدِيْنَ دَرَجَةً ۗ وَكُلًّا وَّعَدَ اللّٰهُ الْحُسْنٰىۗ وَفَضَّلَ; anfusihim 'alal-qā'idīna darajah, wa kullaw wa'adallāhul-ḥusnā, wa faḍḍal;a an fu si him 'a lal qā 'i dī na da ra jah , wa kul law wa 'a dall llā hul ḥus nā , wa faḍ ḍ
4;95;4;اللّٰهُ الْمُجٰهِدِيْنَ عَلَى الْقٰعِدِيْنَ اَجْرًا عَظِيْمًاۙ;lallāhul-mujāhidīna 'alal-qā'idīna ajran 'aẓīm;l llā hul mu jā hi dī na 'a lal qā 'i dī na aj ran 'a ẓī mā
4;96;1;دَرَجٰتٍ مِّنْهُ وَمَغْفِرَةً وَّرَحْمَةً ۗوَكَانَ اللّٰهُ غَفُوْرًا رَّحِيْمًا ࣖ;darajātim min-hu wa magfirataw wa raḥmah, wa kānallāhu gafụrar raḥīmā;da ra jā tim min hu wa mag fi ra taw wa raḥ mah , wa kā nall llā hu ga fụ rar ra ḥī
4;97;1;اِنَّ الَّذِيْنَ تَوَفّٰىهُمُ الْمَلٰۤىِٕكَةُ ظَالِمِيْٓ اَنْفُسِهِمْ;nallażīna tawaffāhumul-malā`ikatu ẓālimī anfusihim;n nal la żī na ta waf fā hu mul ma lā `i ka tu ẓā li mī an fu si him
4;97;2;قَالُوْا فِيْمَ كُنْتُمْ ۗ قَالُوْا كُنَّا مُسْتَضْعَفِيْنَ فِى الْاَرْضِۗ;qālụ fīma kuntum, qālụ kunnā mustaḍ'afīna fil-arḍ;m qā lụ fī ma kun tum , qā lụ kun nā mus taḍ 'a fī na fil arḍ
4;97;3;قَالُوْٓا اَلَمْ تَكُنْ اَرْضُ اللّٰهِ وَاسِعَةً فَتُهَاجِرُوْا فِيْهَا;qālū a lam takun arḍullāhi wāsi'atan fa tuhājirụ fī;l llā hi wā si 'a tan fa tu hā ji rụ fī hā , fa u lā `i ka ma` wā
4;97;4;ۗ فَاُولٰۤىِٕكَ مَأْوٰىهُمْ جَهَنَّمُ ۗ وَسَاۤءَتْ مَصِيْرًاۙ;ā, fa ulā`ika ma`wāhum jahannam, wa sā`at maṣīr;hā , fa u lā `i ka ma` wā hum ja han nam , wa sā `at ma ṣī r
